,age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,X,X.1
2228,31,admin.,single,basic,no,no,telephone,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no,NA,NA
2706,38,admin.,married,university.degree,yes,no,telephone,may,tue,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2350,37,services,married,high.school,no,yes,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2736,35,admin.,married,university.degree,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
1409,32,admin.,single,university.degree,yes,no,cellular,may,mon,7,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no,NA,NA
514,50,blue-collar,married,basic,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no,NA,NA
1003,59,management,married,university.degree,no,no,cellular,dec,thu,4,999,1,failure,-3,92.713,-33,0.7,5023.5,no,NA,NA
1570,26,admin.,single,university.degree,no,no,cellular,oct,fri,2,999,1,failure,-3.4,92.431,-26.9,0.73,5017.5,no,NA,NA
2243,41,admin.,married,university.degree,yes,yes,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
3050,60,blue-collar,married,university.degree,yes,no,cellular,aug,tue,8,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
107,42,admin.,married,high.school,yes,no,cellular,jul,fri,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
470,45,services,divorced,university.degree,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no,NA,NA
2265,48,blue-collar,married,basic,yes,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,NA,NA
4,47,admin.,married,university.degree,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
1204,36,unemployed,married,university.degree,no,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,NA,NA
1423,42,admin.,married,university.degree,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
1237,47,self-employed,married,professional.course,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2923,55,management,single,basic,yes,no,telephone,jun,wed,4,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,NA,NA
1393,28,services,married,high.school,yes,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,NA,NA
3084,31,blue-collar,single,professional.course,yes,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
2170,41,blue-collar,married,basic,no,no,cellular,apr,fri,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
1977,24,services,married,high.school,yes,no,telephone,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,NA,NA
1195,58,management,divorced,university.degree,yes,no,telephone,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,NA,NA
2141,43,services,married,high.school,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,NA,NA
1667,29,admin.,single,university.degree,no,no,telephone,jun,thu,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no,NA,NA
694,59,unemployed,married,professional.course,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no,NA,NA
1484,33,blue-collar,married,professional.course,no,yes,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,NA,NA
2427,36,self-employed,married,university.degree,no,yes,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
575,29,blue-collar,single,university.degree,yes,yes,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
1132,36,blue-collar,single,basic,yes,no,telephone,jun,fri,8,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,no,NA,NA
1105,37,blue-collar,married,high.school,yes,no,telephone,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
2654,39,services,married,basic,yes,yes,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
2761,36,blue-collar,married,high.school,no,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
409,33,admin.,single,university.degree,yes,yes,cellular,aug,tue,6,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
2386,34,self-employed,married,basic,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no,NA,NA
1309,32,blue-collar,married,high.school,yes,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
2827,30,self-employed,married,professional.course,yes,no,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
791,26,unemployed,single,basic,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
979,72,unemployed,divorced,university.degree,no,no,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.884,5076.2,no,NA,NA
184,25,blue-collar,single,university.degree,yes,yes,telephone,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,NA,NA
133,57,unemployed,single,professional.course,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2932,45,blue-collar,married,university.degree,yes,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
2515,29,admin.,single,university.degree,no,no,cellular,oct,mon,2,999,1,failure,-3.4,92.431,-26.9,0.731,5017.5,no,NA,NA
958,32,self-employed,married,high.school,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
647,52,admin.,married,high.school,yes,no,cellular,apr,thu,2,999,1,failure,-1.8,93.075,-47.1,1.435,5099.1,no,NA,NA
2224,60,unemployed,married,university.degree,yes,no,cellular,oct,mon,2,999,0,nonexistent,-1.1,94.601,-49.5,1,4963.6,no,NA,NA
2215,32,blue-collar,married,professional.course,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
244,43,blue-collar,divorced,professional.course,yes,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no,NA,NA
2399,47,management,married,university.degree,yes,no,cellular,aug,tue,8,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
784,54,admin.,married,high.school,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no,NA,NA
2986,61,unemployed,divorced,university.degree,yes,no,cellular,apr,tue,2,999,0,nonexistent,-1.8,93.075,-47.1,1.384,5099.1,no,NA,NA
2292,54,services,divorced,basic,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
2965,49,services,married,basic,no,yes,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,no,NA,NA
663,34,blue-collar,married,basic,yes,no,cellular,jul,wed,5,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
2869,34,admin.,married,university.degree,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
452,32,blue-collar,married,basic,no,no,cellular,may,mon,3,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,NA,NA
1815,49,blue-collar,divorced,high.school,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,NA,NA
2860,46,admin.,married,university.degree,yes,no,telephone,jun,fri,7,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,NA,NA
2079,46,unemployed,married,basic,yes,no,cellular,nov,thu,4,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
1527,28,services,single,university.degree,no,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
1126,36,admin.,single,high.school,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,NA,NA
1014,32,admin.,married,university.degree,yes,no,telephone,aug,tue,7,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
146,58,blue-collar,married,basic,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no,NA,NA
1867,30,blue-collar,married,basic,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2898,27,services,married,professional.course,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
1974,39,management,divorced,university.degree,yes,no,cellular,nov,thu,6,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no,NA,NA
1537,29,management,married,university.degree,yes,no,cellular,aug,thu,1,4,2,success,-2.9,92.201,-31.4,0.873,5076.2,no,NA,NA
3023,31,services,married,basic,yes,no,telephone,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no,NA,NA
2621,31,admin.,married,university.degree,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
1548,31,management,married,university.degree,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no,NA,NA
27,46,management,divorced,high.school,no,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no,NA,NA
58,38,self-employed,single,university.degree,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
435,53,self-employed,married,university.degree,no,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
917,39,services,married,high.school,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
2481,26,admin.,single,high.school,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,NA,NA
1509,43,services,married,university.degree,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
2413,53,admin.,married,high.school,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no,NA,NA
182,36,admin.,married,university.degree,yes,no,cellular,sep,fri,1,999,0,nonexistent,-3.4,92.379,-29.8,0.773,5017.5,no,NA,NA
2784,54,blue-collar,married,university.degree,yes,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
2424,52,self-employed,married,basic,yes,yes,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no,NA,NA
237,36,admin.,single,university.degree,no,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
1801,52,unemployed,divorced,professional.course,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
2142,37,blue-collar,single,university.degree,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,NA,NA
1539,42,services,married,university.degree,no,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no,NA,NA
2157,30,admin.,single,university.degree,yes,yes,cellular,aug,tue,1,4,1,success,-2.9,92.201,-31.4,0.883,5076.2,no,NA,NA
2245,45,admin.,married,university.degree,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,NA,NA
287,41,blue-collar,married,professional.course,no,yes,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,NA,NA
1190,38,management,single,university.degree,no,no,cellular,jul,wed,17,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
881,30,admin.,married,university.degree,yes,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no,NA,NA
2912,30,services,single,high.school,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no,NA,NA
1847,40,blue-collar,divorced,professional.course,no,no,cellular,aug,tue,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,NA,NA
2694,37,admin.,single,university.degree,no,no,cellular,aug,wed,11,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,NA,NA
3041,59,blue-collar,married,professional.course,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,NA,NA
2579,34,blue-collar,divorced,professional.course,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no,NA,NA
749,47,admin.,divorced,university.degree,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
642,38,admin.,single,professional.course,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no,NA,NA
1817,49,blue-collar,married,professional.course,no,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,NA,NA
1143,38,blue-collar,single,professional.course,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,NA,NA
